,question
16628,WP JJ NNP NN NNS IN NNP .
16629,WP VBZ DT NN IN DT NNP NN IN NNP .
16630,WP NN VBD NNP POS NNP NNP VBG IN .
16631,WP NN WDT VBD RP IN CD VBD VBN IN NNP .
16632,WP NN IN NN VBZ NNP NNP VBN IN .
16633,WP NN IN DT NN IN PRP$ NN VBZ DT NNP NN IN NNP .
16634,WP VBZ DT NN IN DT JJ NNP NN .
16635,WRB VBZ DT JJ NN VBN .
16636,WP VBZ DT JJ NN NN IN NNP VBD .
16637,IN DT NN IN WP NN VBD DT VBZ NNP VB VBG .
16638,WRB JJ NN NNP NN NNS VBP RB IN NNP .
16639,WP JJ NNP NN VBD DT NNP NNP .
16640,WP VBZ DT JJ NN IN DT NN RB VBN IN DT NNP .
16641,WP NN IN NN VBZ VBN IN DT NNP .
16642,WP VBD DT JJ NN IN NNP NNP .
16643,WP VBZ NNP NNP POS NN NN VBN .
16644,WP NN IN NN VBZ VB CD NN .
16645,WP VBZ DT NN IN DT NNP NNP NNP .
16646,WP NN VBZ VBN VBN TO DT NNS IN CD .
16647,WP NN VBD NNP NNP NNP RB VBZ DT JJ NN IN NNP NN .
16648,WP VBD DT NNPS NN IN CD TO VB DT NNP NNP .
16649,WP NN VBD NNP NNP NNP VB JJ NNS IN IN CD .
16650,JJ NNP NN NNS VBP WP NN IN DT NN IN PRP$ NNS .
16651,WRB JJ JJ NNP NN VBZ VBZ NNP VB .
16652,WP VBZ DT NN IN DT JJ NN IN `` NNP '' IN PRP$ NN .
16653,WP VBZ DT NN IN DT DT JJ NN IN `` NNP '' IN PRP$ NN .
16654,IN WP NN VBZ DT NNP NNP NNP NNP NN .
16655,WP NN IN DT NN VBZ DT NNP NNP IN .
16656,"IN DT NNP NNP NNP , IN WP JJ NN NN VBD DT NNP NNP NNP NNP VBD TO VB ."
16657,"IN DT NNP NNP NNP NNP , WP VBZ DT NN IN DT JJ NN NN IN NNP ."
16658,WP VBZ NNP POS NN NN VBN .
16659,WP NN VBD NNP NNP NNP VBD .
16660,WRB JJ JJ NNS POS NN VBZ DT NN NN NN DT NN .
16661,"RB , WRB JJ JJ NNS VBP VBZ NNP NNP NNP NN ."
16662,WRB JJ VBP NNS VB TO VB TO VB IN DT NN NN .
16663,WP VBZ DT JJS NN NN IN NNP .
16664,WP NN VBD NNP NNP VBD TO IN CD .
16665,WP JJ NN IN NNP NNP RB VBD IN DT NNP NNP .
16666,WP NN VBD NNP NN IN DT NNP NNP .
16667,WP NN VBP DT NNPS NN TO .
16668,WP NN VBZ NNP VB NN IN DT VBZ IN NN NNS CC VBG .
16669,WP NN VBN IN DT NN NN VBN TO VB VBN IN NNP .
16670,WP VBD DT JJ NN IN DT NNP NNP NNP .
16671,JJ NN IN NNP VBD DT NN NN IN CD RB CD .
16672,WP NN VBZ DT NN IN NNP POS JJ NNS CC JJ NNS .
16673,WRB JJ JJ NN NNS VBP VBN IN NNP NNS .
16674,WP NN VBD DT NNP NN NNS VBP VBG NNS TO .
16675,WP NN VBD NNP `` JJS NN IN DT NNP '' IN CD .
16676,WRB JJ NNS VBD NNP VB IN DT `` JJS NN '' NNS IN CD .
16677,WP VBD DT `` JJS NN IN DT NNP '' RB IN NNP IN CD .
16678,"IN DT JJ NN , WRB VBD RB VBG VBN ."
16679,WP NN VBD NNP NNP NNP VBD PRP$ NNS IN JJ .
16680,WP NNP NNP NNP NN VBZ NNP NN .
16681,IN WP NNS NN VBP DT NNP NNP NN .
16682,WRB VBZ DT NNP NNP NNP NNP VBN .
16683,WP VBZ JJ IN VBG NNP .
16684,WRB RB VBD PRP NN TO VB DT NNS NN IN NNP POS NN NN .
16685,IN WP NN IN NNP VBZ DT NN NN IN DT NN .
16686,"WP NN VBD DT NN JJ , JJ NN NNS VB ."
16687,WP NN NN VBZ RB TO DT NN NN POS NN .
16688,WP VBZ NNS IN NNP .
16689,WRB JJ NN NNS VBP RB IN NNP NN NNS .
16690,"IN IN NNP CC NNP , WP VBZ DT JJ NN NN IN NNP ."
16691,WRB JJ NNS JJ VBP VBN IN DT CD NNS IN NNP .
16692,NNP NNP NNP NN NN CC JJR NN NNS IN CD IN DT NN IN .
16693,IN WRB JJ JJ NNS VBZ JJ NN IN NNP VBD .
16694,VBZ NNP POS NN NN RBR CC JJR IN DT JJ NN .
16695,JJ NNS VBP VBN IN IN DT JJ NNS JJ NNS NNS NN NN .
16696,VBZ NNP POS JJR NN NN JJ CC JJ .
16697,WP VBZ DT JJ NN NN IN DT CD JJ NNS IN NNP .
16698,WP VBZ DT NN IN DT NN IN JJR NN IN `` NNP '' IN PRP$ NN .
16699,WP NN VBD DT NNP IN NNP VBD .
16700,WRB VBD DT NNP IN NNP VBP NN NN IN JJ NNP NNP .
16701,DT NNP IN NNP VBZ JJR IN WP NN IN NNS VBG .
16702,WP NN NN IN DT NNP IN NNP VBZ VBN NNP .
16703,WP NN VBD DT NNP IN NNP IN DT JJ CD NNS VBP IN CD .
16704,WRB JJ NNS VBP NNP NNP NNP .
16705,WP VBD NN VBZ NNP NNP NNP NN .
16706,"IN NN TO JJ NN , WP JJ NN VBZ DT NNP NNP NNP NN NNS IN ."
16707,WRB JJ NN JJ NN NNS VBP RB IN NNP .
16708,WP NN IN JJ NN NNS JJ NNS CC NNP NNS .
16709,WP VBZ VBZ NNP NNP NNP NN TO VB NNS .
16710,WP NN IN DT NNS NNP VBZ IN IN DT NN CC RB JJ IN NNS IN NNP .
16711,WP VBZ DT JJ NN NN VBN IN DT NN .
16712,JJR IN WP NN IN DT NNS VBN VBD PRP MD VBN VBN .
16713,IN WRB JJ NNS VBD DT NN NN .
16714,WP JJ NN IN VBG VBD DT NN NN VBD RBS JJ .
16715,WP VBD DT JJ RBS JJ NN IN VBG VBN IN NNS WP VBD DT NN .
16716,JJ NN IN NNS IN NNP VBP DT JJS VBN IN DT NNP .
16717,WRB JJ NNS DT JJ NN VBP DT NN NNS IN NNP POS JJ NNS .
16718,"IN IN IN DT CD NNS , WRB JJ MD VB VBN IN NN ."
16719,"IN NN TO JJ NNS , WP JJ NN IN NN VBP NNP POS NNS VBP IN NN JJR IN RB RB IN DT NN ."
16720,JJ RB VBD NN IN NNP VBZ RP NNP POS JJ NN .
16721,JJ NN NNS NNP TO NNP .
16722,WP NN VBZ VBN IN DT NNP WRB DT NNP NNS TO DT NNP CC NNP .
16723,WP NN IN DT NNP VBZ PRP TO NNP POS NN NN CC JJ NNP .
16724,NNP NNP POS NN VBZ IN DT NNP JJ CC JJ .
16725,NNP POS NNS VBP NN NNS CC WP JJ JJ NNS .
16726,WP VBZ DT NN IN DT JJ NN NN IN NNP .
16727,"VBG NN IN NNP , WP NN VBZ VBN IN NN ."
16728,IN WDT NN VBP NNS VB IN NNP TO NNP .
16729,IN WP NN VBD DT NN NN IN NNP TO NNP VB .
16730,"IN NN TO DT JJ CC JJ NNS IN NNP , WP JJ NN VBZ JJ NN NN ."
16731,WP NN VBZ NNP POS JJ NN NN .
16732,WP NN VBD NNS IN NN NN IN NNP IN NNP IN CD .
16733,IN WP NN VBD DT NN TO VB JJ NN NN TO NNP CC NNP VB .
16734,WP VBZ DT JJ NN IN DT JJ NN DT NNP NNP NNP VBZ TO VB TO VB NN NN .
16735,WP VBG NN NN VBD TO VB DT NN NN IN DT CD .
16736,"IN WDT NN VBD DT NNP , NNP CC NNP NNP VBP TO VB ."
16737,"WP NN VBZ IN DT NNP NNP NN IN NN IN DT NNP , NNP CC NNP NNP POS NN ."
16738,IN WP NN VBZ NNP NNP VBD .
16739,WP NN MD CD NN IN NNP TO VB TO DT NN IN NNP .
16740,"IN NNS VBP RB VB TO VB DT NN TO DT NN , WP JJ NN VBZ JJ ."
16741,"TO VB DT NN TO NNP NNP , WP NN NN MD PRP VB TO VB IN ."
16742,WP NN NN VBZ PRP$ NNS IN NNP .
16743,"IN NNP , WP JJ JJ NN NN VBZ PRP$ JJ NN NNS IN NNP NNP ."
16744,"IN NN TO NNP CC NNP NNP CC NNP NNP , WP JJ NN VBZ NNP NNP IN ."
16745,WP NN IN NN NNS VBZ DT JJ NN TO NNP .
16746,"WP VBD DT NN IN DT NN WDT VBD NNP IN PRP$ JJ NN IN NNP CD , CD ."
16747,WP VBD DT NNP NN NNP NNP IN NNP CD .
16748,IN WP NN VBD DT NNP NNP VB PRP$ NN IN DT NNP .
16749,"WP NN VBD DT NNP IN NNP NN IN NNP CD , CD ."
16750,WP VBZ NNP VB DT NN WRB CD NNS VBN IN NNS DT VBP DT NN .
16751,WDT IN DT `` JJ NNP '' VBZ DT NN IN PRP$ NN .
16752,"IN IN DT NNP NNP CD CC NNP NNP , WDT JJ NN MD VB JJ IN DT NN IN DT NNP NNP POS ."
16753,WP NN NN VBD DT NN NN IN NNP IN NNP IN CD .
16754,JJ NN VBD NNP CC NNP NN IN NNP .
16755,WRB JJ NNP CC NNP NNS VBD NNP IN DT NN IN DT JJ JJ NNS .
16756,WDT IN DT CD NNP CC NNP NN NNS VBZ DT NN WDT VBZ IN `` NNP '' .
16757,"IN IN DT NNP , WP VBZ DT JJ NNP CC NNP NN IN DT NN WDT VBZ IN DT JJ NN ."
16758,WRB JJ JJ NN NNS VBZ NNP VB .
16759,WP VBZ DT NN IN DT NN WRB DT CD NNS VBP PRP$ NNS .
16760,WRB JJ IN DT NNS VBP TO DT NNP IN NNP .
16761,WP NN VBZ DT NNS TO NNP NNP CC NNP .
16762,WP NN IN NN VBZ DT NNP NNP NN TO VB NNP IN NNP .
16763,IN WP NN VBD DT NN NN VBN IN NNP TO VB NNS TO JJ NNS IN DT NN .
16764,"IN WP NN VBD NN NNS VBP VBG IN NNP , JJ IN DT CD TO DT NNP IN NNP ."
16765,WP VBD VBN IN DT NN WRB DT NNP NNP NNP VBD TO VB .
16766,WP VBZ DT NNP NNP NNP VB .
16767,"WP NN WDT VBD RB VBN IN NNS , JJ NNS , CC NNS VBZ RB DT VBG NN IN JJ NNS ."
16768,WP NN IN JJ NN VBP JJS NNS IN NNP NN RB .
16769,"IN IN NNP NNP , WP VBZ DT JJ JJ NN NN IN NNP ."
16770,WP NN NN VBD DT NNP IN NNP NN TO VB NNS IN DT NN CC DT NN .
16771,WP NN VBZ NNP VB NN TO DT NN DT NN .
16772,WP NN VBD NNP IN NNP .
16773,WP NN VBZ NNP VB VBZ IN TO VB DT NN JJ IN JJ NNS .
16774,NNP NN NN VBZ NNP NNP VBG IN DT NNS .
16775,WP NN VBZ IN CC VBZ RP NNS IN NNP NNP .
16776,WRB VBD DT NN NN VB NN IN NNP .
16777,WRB VBP NNS WDT VBP IN NNP NNP VB .
16778,WP VBP DT NNS IN JJ NN .
16779,WP VBZ DT NN VBD IN IN NNS IN JJ NN .
16780,WRB VBP JJ NNS IN NNS VBN IN JJ NN VBN TO NNS .
16781,WRB MD PRP VB DT NNS IN DT NN CC DT NN IN JJ NN .
16782,WP MD DT NN TO DT NN VBP TO VB VBG VBN JJ IN JJ NN .
16783,WP VBZ JJ IN JJ NN TO DT NN IN JJ NN .
16784,IN WP MD DT NN TO DT NN VB VBN JJ IN VBG TO VB PRP$ NNS .
16785,WP MD VB DT NN IN DT NN IN VBG DT JJ NNS IN DT NN .
16786,WP VBP PRP VB DT JJ NNS VBN IN NNS TO DT NNS CC NNS .
16787,WRB VBP DT NNS IN DT NN VBN .
16788,WRB VBP VBZ IN NN IN DT NN NN .
16789,WP VBZ DT JJ NN WDT VBZ DT NN IN CD NNS .
16790,WP VBZ DT JJ NN IN DT JJ NN WDT VBZ DT JJ NNS IN PRP$ NNS .
16791,WP VBZ JJ IN DT JJ NNS IN DT NNS TO DT NN .
16792,WP VBZ VBN IN JJS NNS IN DT JJ JJ NN .
16793,WP VBZ DT NN IN DT JJ NN VBN .
16794,WRB VBP JJ NNS IN DT JJ JJ VBN IN JJ NN .
16795,DT NN IN DT JJ JJ RB VBZ IN WDT NN IN NN .
16796,"IN NN TO VBG DT NNS CC PRP$ JJ NNS , WP RB VBZ DT JJ JJ RB VB ."
16797,WP NN VBZ DT JJ NN IN DT NN VBG IN DT NNS IN DT NNS VBP VBN PRP$ JJ NNS .
16798,WP VBP DT JJ NNS VBG DT NN POS NN TO VB IN PRP$ NN .
16799,"IN NN TO PRP$ JJ NNS , WP RB VBZ VBN IN DT JJ WDT VBZ DT NNS TO DT NN ."
16800,WRB MD DT JJ NNS IN DT NNS POS NNS VB VBN IN NN TO VB IN DT NN .
16801,WP RB IN DT NNS PRP VBZ RB VBN IN DT JJ TO DT NN .
16802,WP VBZ DT JJ IN DT NN .
16803,WP VBZ VBN IN DT JJ NNS IN DT NN .
16804,WP VBZ DT NN VBG RB VBN .
16805,WRB MD DT NNS IN DT JJ NN VB VBN .
16806,DT JJ NNS IN DT NN MD VB VBN IN NN NN IN WP NN IN NN .
16807,WP NN IN NN TO NNS VBZ RB VBN IN DT NN .
16808,JJ NN IN DT NN RB VBZ NN IN DT NNS IN DT JJ JJ NNS IN DT NN .
16809,NNS TO DT NN MD VB NNS IN WP NN IN DT NNS IN DT NN .
16810,JJ NNS IN DT NN VBP PRP$ NNS VBN IN JJS JJ NNS .
16811,JJ NNS RB VBP DT NNS IN DT JJ NN IN WP .
16812,WP VBZ DT JJ NN IN DT NN NN IN DT NN .
16813,WP RB VBZ DT NNS IN DT NN .
16814,WRB VBZ DT NN RB VBN IN DT NN .
16815,WP VBZ DT NN IN DT JJ NNS IN DT NN VBN IN JJ NNS .
16816,DT NN IN `` IN NN NN '' CC `` IN NN NN '' RB VBZ WP IN DT NN .
16817,JJ NNS VBP IN DT JJ NN IN DT NN .
16818,WRB MD DT NN IN DT NN VB VBN .
16819,"WP , IN VBG , MD RB VB DT NNS IN WDT DT NN VBD VBN CC VBD IN NN ."
16820,DT NN MD VB VBN WP IN NN IN DT NN TO VB IN NN .
16821,"RB IN VBN CC VBN IN DT JJ NN , DT NN MD VB VBN WP IN JJ NNS ."
16822,JJ NNS VBP VBN IN WRB JJ NNS CC NNS .
16823,VBZ PRP JJ IN DT JJ NN TO VB JJR IN CD NNS .
16824,DT JJ NNS IN NNP CC DT NNP NNP VBD DT JJ NN IN WP .
16825,VBZ DT JJ NN IN NNP CC DT NNP NNP VB NNS CC NNS VBP DT NNP CC PRP$ NN NNS .
16826,DT NN IN NNP CC DT NNP NNP VBZ DT NN IN WP NN IN NN .
16827,WP VBZ DT NN VBD IN JJ NNS .
16828,NNP WDT NNS VBZ DT JJ NN VB NNS CC NNS .
16829,DT NNP IN NNP NNS DT NN IN WP IN DT NN .
16830,WP NN IN NN VBZ DT JJ NN .
16831,JJ NNS VBP RB VBN IN IN NNS WDT NN DT JJ WP .
16832,WP VBP NNS TO DT NN POS NN IN DT NN .
16833,WP VBP JJ NNS VBG TO VB CC TO VB DT JJ NN CC PRP$ NNS IN DT NN .
16834,WRB MD NNS VB VBN IN DT NN .
16835,WP VBP NNS TO DT NN NN TO VB IN PRP VBP RB VBN DT NN .
16836,DT VBG NN TO DT NN MD VB DT NN WDT VBZ TO VB WP TO PRP$ JJ NNS CC PRP$ NNS .
16837,DT RBR JJ NN VBG WP VBD TO VB DT JJS NN IN NNS TO VB NNS .
16838,NNS VBP RB VBN RB RB IN PRP VBP RB WP .
16839,WRB VBD JJ NN RB VBZ TO VB NNS .
16840,RB NNS VBD VBN IN JJ NN IN WDT NNS IN DT NN VBD PRP .
16841,"IN PRP VBP RB VBN IN JJ NN , DT NN MD VB NNS IN WP NN TO VB PRP$ NN ."
16842,"WRB DT NN VBZ NNS TO DT NN , JJ NNS TO DT NN MD VB TO DT NNS IN WP NNS ."
16843,WP VBZ JJ WRB DT NN POS NN VBZ VBN IN DT JJ NN .
16844,WP VBZ TO DT NNS IN DT NN VBN IN DT JJ NN IN PRP NN DT NN CC VBG NNS .
16845,WP JJ NNS VBP IN CD NN NNS IN CD NNS CC VBZ DT JJ POS NNS .
16846,IN DT NN NN NNS CC VBZ DT NN POS NNS PRP RB VBZ TO VB WP .
16847,WRB JJ NNS VBP RB TO VB DT VBG NN .
16848,WP MD NN NNS TO DT NN NN TO VB DT JJ NN TO DT NN .
16849,WP NN NN VBZ RB VBN IN NNS WDT VBP JJ NNS IN DT NN .
16850,NNS TO DT JJ NN CC DT VBN NN VBP VBN TO WP NNS .
16851,"IN NN TO DT RB JJ CC JJ NN IN NN NN , WP JJ NN MD VB IN DT NN ."
16852,WP VBZ DT NN WDT VBZ DT JJ NN IN JJ NN .
16853,DT NN MD VB VB DT JJ NN CC VB WP .
16854,VB NNS TO DT NN VBP DT NN TO VB DT RBR NN .
16855,WP VBP PRP RB VBP DT NN WDT VBZ DT NN RB WRB JJ NNS TO DT NN NN DT NN .
16856,DT NN MD VB JJ NNS TO DT NN CC RB VB WP .
16857,DT NNP NNP VBZ VBN IN WP NN .
16858,DT NNP NNP NNP NNP IN NNP NNP VBD VBN IN WP NN .
16859,DT NNP NNP NNP NNP IN NNP NNP VBD DT NN IN DT NN IN WP .
16860,"IN DT NNP NNP NNP NNP IN NNP NNP VBD DT NN IN VBG NN NN NN NNS , DT NNP NNP VBD WP ."
16861,DT NN WDT VBD JJ NNS VBN TO DT NNP NNP NNP NNP IN NNP NNP VBZ DT NN IN WP NN WDT VBZ DT NN .
16862,DT NN WDT VBZ DT IN PRP$ NNS IN NN RB IN VBG DT NN TO PRP VBZ VBN IN WP .
16863,WP VBP JJ NNS RB VBP IN DT NN TO VB PRP TO VB PRP$ NNS .
16864,WP VBZ `` VBG NN '' WDT VBZ VBN IN DT NN TO DT NN TO VB PRP TO VB PRP$ NNS IN DT NN .
16865,DT NN VBG JJ NN IN DT NN IN JJ NNS VBZ DT NN IN WDT NN IN NN .
16866,VBG DT JJ NN RB VBZ WP IN DT NN .
16867,WP NN IN NN MD RB VB VBN IN IN DT JJ NN IN JJ NN .
16868,DT NN NN MD VB IN NN IN PRP$ NNS IN DT JJ NN IN PRP$ NN VBZ TO VB WP .
16869,WP NN IN DT NN TO DT NN MD VB TO VB DT NN POS NNS IN DT JJ NN .
16870,DT RB JJ NN IN DT JJ NN CC DT JJ NN MD VB TO DT NN VBG WP IN NNS VBP IN DT NN .
16871,DT NN MD VB VBN JJ TO NNS IN DT NN IN DT NN IN DT JJ NN CC DT JJ NN MD RB VB VBN IN WP .
16872,WP NN VBZ RB VBN IN JJ NNS WRB VBG DT NN IN NNS .
16873,DT NN IN JJ JJ VBZ DT NN IN NNS IN VBG WDT NN TO VB NNS IN NNS .
16874,WP VBZ IN NNS VBP TO VB VBN `` IN JJ NN '' VBG TO DT `` JJ NN VBN TO DT NNS IN DT NN IN PRP$ NN CC IN NN IN PRP$ NN CC VB . ''
16875,WP NN IN NNS MD RB VB VBN WRB PRP VBZ RB JJ .
16876,IN JJ NN WP MD RB VB DT VBZ DT NN IN DT NN IN DT NN .
16877,DT NN NN TO DT NN MD VB WP TO DT JJ NNS .
16878,WP MD VB VBN IN JJ NNS VBP TO RB VB DT NN POS RB JJ NN IN DT NN .
16879,NN IN DT NN POS JJ NN IN DT NN MD VB VBN IN DT NN VBZ VBN IN PRP$ NN IN DT NN IN WP IN DT NN .
16880,NN IN DT NNS TO DT NN TO DT JJ NN IN DT NN VBZ WP JJ NN .
16881,DT JJ NN IN VBG DT NN TO DT NN WDT VBZ WRB DT NNS TO DT NN NN TO DT JJ NN IN DT NN VBZ RB VBN IN WP .
16882,WP VBP JJ NNS CC NNS RB VBD NNS TO VB IN NNS TO NNS .
16883,WP JJ NNS MD VB VBN IN TO VB NNS VBG TO DT NN IN NNS .
16884,"IN NN TO DT JJ , VBD RP WP RB MD NNS VB TO VB DT NN IN DT NN IN NN ."
16885,IN WP NN MD DT JJ JJ NN DT JJ NN IN DT NN CC NN IN DT NN .
16886,"IN NN TO DT NN NN IN DT NN CC NN IN DT NN , WP MD NNS VB WRB VBG DT NN IN DT NN IN DT NN ."
16887,WP VBP NNS IN NNS IN DT NNP NNPS VBD .
16888,WP VBP NNS IN NNS CC DT JJ NN VBD IN DT NNP NNPS .
16889,"IN DT NNP NNPS , WP VBP NNS IN NNS IN DT JJ NN VBN ."
16890,NNS MD VB JJ IN VBG DT NN DT NN IN PRP VBZ DT NN IN VBG IN DT JJ NN VBZ DT WP .
16891,IN WP VBP DT NNS TO DT NN VBZ DT NNS IN DT NN VBP JJ .
16892,NNS TO DT NN MD VB IN DT NN TO VB DT NN IN WP .
16893,NNS IN WP CD NNS VBP VBN VBN IN CD NN POS NN TO VB DT NN IN JJ NN .
16894,NNP IN NNP NNP CC DT NNP NNPS VBP VBN VBN IN CD NN POS NN TO VB NNS IN JJ NN IN NN TO WP CD NNS .
16895,NNP NNP CC DT NNP NNPS VBP VBN VBN IN DT NN IN CD NNS VBP TO VB WP IN NN TO NN NNS CC JJ NN .
16896,WP VBZ DT NNP IN NNP RB VBD TO VB .
16897,WP JJ NNS MD VB VBN TO VB TO DT NN .
16898,WP JJ JJ NN MD RB VB TO VB VBG DT NN .
16899,WP VBZ DT NN IN DT NN WDT VBZ VBN RB TO VB NNS IN JJ NN .
16900,"NN , NN , CC NN VBP NNS IN NNS IN JJ NNS IN WP WDT MD VB NN IN DT NN ."
16901,"RB , WP MD DT NN NN IN NN IN DT NN TO VB IN JJ NN ."
16902,WP VBZ DT RB NN TO NN VBN IN JJ NNS .
16903,NNP VBZ RB VBG IN DT NN NNS .
16904,WP NN MD VB IN DT NN IN NNS VBP RB CD IN DT NN IN NNS .
16905,JJ NN IN DT NNP NNP IN DT NNP IN NNP VBZ IN EX VBZ DT NN IN NNS MD RB VB RB VBN .
16906,WP VBZ DT NN IN DT NN IN WDT PRP VBZ RB JJ TO VB .
16907,WP NN VBD PRP$ NN TO VB IN DT NNP NNP IN NNP CC NNP NNP .
16908,"WP , VBG IN NN , VBD NNP NNP IN NN VBD RB VBN IN DT JJ NNS IN DT NNP NNP IN NNP CC NNP NNP ."
16909,WP CD NNS VBP IN PRP VBZ JJ TO VB IN DT NN .
16910,DT NNS CC JJ NN IN DT NNP NNP IN NNP CC NNP NNPS VBD DT NNS IN VBG WP NN IN DT NN IN PRP VBZ TO NNP NNP POS VBN NNS .
16911,"WP NN , IN NN , VBZ DT NN TO VB IN DT NN IN DT NN ."
16912,WP RB VBZ IN NN IN DT NN VBZ VBN .
16913,WP MD DT NN NN IN NN TO DT NN POS NN IN DT NN .
16914,"IN NN IN DT NN MD RB VB JJ IN NN , WRB MD PRP VB JJ RB ."
16915,IN IN NN WRB MD DT NN NN IN DT NN .
16916,WP VBZ TO DT NN POS NNS IN DT NN IN PRP$ NN IN DT NN .
16917,WP NN IN NN VBZ VBN IN DT NN IN RB CD NN .
16918,WP VBZ TO DT JJ NN POS NNS CC NNS IN DT JJ NNS WRB RB CD NN NN .
16919,IN WP NN IN DT NN VBP PRP$ NNS IN DT NN VBN VBN .
16920,IN WP NNS MD DT JJ NN POS NN NN IN DT NN IN DT JJ NN .
16921,WP MD VB VBN IN NNS IN RB VBG DT NN .
16922,"IN NN TO VBG DT NN PRP , WP NNS IN DT JJ NNS MD VB IN CD NN RB VBG CC VBG PRP$ NNS ."
16923,"IN NN TO VBG PRP$ NNS IN DT NN TO DT VBG NN , WP MD VB IN DT JJ NN IN NN NNS ."
16924,WP MD VB DT JJ NN VBN IN DT NN TO DT NN TO VB PRP$ NNS TO DT NN .
16925,WP JJ NNS MD NNS IN DT NN NN IN NN TO DT JJ NN IN DT NN POS NNS .
16926,WP MD DT JJ CC DT NN VB VBN TO VB VBG DT NN IN DT NN .
16927,VBG WP TO VB DT NN IN DT NN MD VB DT NN IN RB VBG PRP$ NNS JJ TO DT NN POS VBN NN NN .
16928,VBZ DT JJ NN RB VB CC VB NN NNS .
16929,WP VBZ IN DT NN RB VBZ CC VBZ JJ NNS .
16930,DT NN NN VBZ RB RB VB NN NNS VBG IN WRB JJ DT JJ NNS VBP DT NN CC WP JJ NN .
16931,DT NNS VBP NNS IN WP TO VB IN JJ JJ NNS VBP VBN .
16932,WP NN MD DT NN VBP IN PRP VBZ VBN TO VB RB RB VBG .
16933,"IN NN TO VBG DT NN NN , WP MD VB DT NN TO VB ."
16934,WP VBZ TO DT NN WDT VBD VBN TO VB IN JJ NNS WRB DT NNS VBP RB VBN .
16935,WP MD PRP VB DT NNS TO DT NN VBD DT NN POS NNS TO VB IN DT NN VBD DT NN NN .
16936,WP MD VB IN DT NN TO DT NN VBG DT NN MD VB VBN RB VB DT JJ NN IN PRP$ NN .
16937,DT NN MD RB VB PRP$ NN IN DT JJ NN IN NNS IN DT NN VBD VBN RB IN WP .
16938,DT NN IN DT JJ NN IN NNS MD RB VB VBN TO VB NNS WDT VBD CC VB WP .
16939,DT JJ NN IN WP NN IN DT NNS IN DT NNS VBZ DT JJ NN IN DT NN IN DT JJ NN IN NNS TO VB DT NN .
16940,"IN NN TO VB VBN DT JJ NN , DT NN IN NNS MD VB VBN WP IN DT NN IN DT NN IN DT NN ."
16941,DT NNP NNP NNP VBD RP DT NN IN WP NN IN NNP CD .
16942,NNP VBD PRP$ NNS TO VB DT NNP NNP NNP IN RB VBG WP NN .
16943,WP VBZ NN VBD DT NNP NNP TO VB DT NNP NNP NNP RB IN VB PRP .
16944,"VBG DT NNS IN DT NNP NN , WDT VBD TO PRP$ VBG WP , VBD DT NN WDT RB VBD DT NNP IN NNP ."
16945,WP VBD NNS VBD IN DT VBN NN IN DT NNP IN NNP IN DT NNP NNP NNP .
16946,"WP NN , VBG TO NNP NN , VBD NNP TO NN DT NN IN DT NNP NNP ."
16947,WP VBZ NNP VBD DT NN IN DT NNP NNP WDT VBD VBN RB .
16948,WRB JJ NNS IN DT NNP NNP VBD VBN IN VBG TO NNP CC PRP$ NNS VBG TO NNP CC NNP NNP .
16949,VBG TO NNP NNP WDT NNS IN DT NNP NNP VBD VBN IN VBG TO NNP CC PRP$ NNS .
16950,WRB JJ NNPS VBD VBN IN DT NN IN NNP NNP .
16951,WRB VBP JJS IN DT NNS VBD IN MD VB IN DT NN NN NN VBG VBN IN DT VBG JJ NN .
16952,WP VBZ IN NNP CC NNP VBP NNS IN NNS WDT VBD VBN JJ CC NN .
16953,"IN WP NN VBD DT JJ JJ NNS IN CD , CD , CC CD VBD IN `` RB JJ CC NN . ''"
16954,"WDT CD NNS VBD DT NN WDT VBD JJ NNS IN DT CD IN CD , CD , CC CD TO VB RB VB ."
16955,DT NN JJ CC VBD IN NN MD VB VBN IN WP IN JJ NNS JJS IN WDT VBP NNS VBN IN DT NN IN DT NN .
16956,DT NN POS NN TO DT NN VBZ JJ IN PRP VBD VBN VBN IN DT NN CC NN IN NN TO VB RB IN WP .
16957,IN WP VBZ DT JJ NN VBP RB IN DT NN IN NN VBZ VBN IN IN VBG IN DT NN .
16958,WP VBZ VBN TO VB DT NN POS NN JJ TO DT NN TO VB IN DT JJ NNS CC NNS IN JJ NNS .
16959,DT JJS NN VBZ VBN TO VB DT NN POS NN TO DT NN JJ TO DT NN RB TO VB IN WP NNS IN JJ NNS .
16960,WP MD DT NN POS NN TO DT NN VB VBN IN PRP VBZ VBN VBN IN DT NN IN DT NN IN DT NN POS JJ NN TO VB RB .
16961,"IN DT NN POS NN VBD NNS PRP VBZ JJ TO IN PRP$ NN , WP MD DT NN POS NN TO DT NN VB VBN TO VB ."
16962,WP MD VB NNS IN DT NN IN NN IN DT NN .
16963,WP MD VB JJ IN DT JJ NNS VBN IN DT NN IN PRP$ NN IN NN IN DT NN POS NN TO DT NN TO VB VBN JJ .
16964,WP MD VB VBN VBN IN DT JJ NNS VBN IN DT NN IN PRP$ JJ NN TO DT NN IN DT NN IN NN IN DT NN POS NN TO VB VBN JJ .
16965,DT NN IN WP VBZ IN NNS VBP DT NN IN JJ NN .
16966,WDT MD VB IN DT NN IN JJ CC JJ NN .
